city,industry,role,experience_years,salary_lpa,primary_ai_tool,ai_adopted
Melbourne,Healthcare,AI Researcher,3,13.1,Azure AI,1
Wollongong,E-commerce,AI Engineer,8,15.18,TensorFlow,1
Cairns,EdTech,AI Engineer,4,14.75,Azure AI,1
Sydney,Finance,AI Researcher,4,15.06,AWS AI,1
Adelaide,E-commerce,AI Engineer,3,10.71,Azure AI,0
Cairns,E-commerce,Data Scientist,9,23.73,AWS AI,1
Sydney,Manufacturing,AI Engineer,0,3.74,Azure AI,1
Sydney,Finance,Data Scientist,4,8.43,PyTorch,0
Perth,Healthcare,Data Analyst,9,20.93,ChatGPT,1
Townsville,Manufacturing,AI Researcher,9,25.13,PyTorch,1
Melbourne,Finance,Data Analyst,10,23.13,PyTorch,1
Brisbane,Finance,ML Engineer,7,23.64,PyTorch,1
Sydney,E-commerce,Data Analyst,6,15.33,ChatGPT,0
Melbourne,Manufacturing,AI Engineer,9,21.62,PyTorch,0
Townsville,IT,AI Engineer,5,14.29,AWS AI,0
Wollongong,EdTech,ML Engineer,2,7.67,PyTorch,0
Perth,Finance,ML Engineer,10,26.46,TensorFlow,1
Adelaide,E-commerce,ML Engineer,6,21.27,TensorFlow,1
Cairns,E-commerce,Data Analyst,2,8.15,ChatGPT,0
Perth,Healthcare,Data Scientist,11,23.19,Azure AI,0
Townsville,Finance,Data Scientist,8,19.88,TensorFlow,1
Townsville,Healthcare,Data Analyst,11,25.12,AWS AI,1
Perth,IT,AI Researcher,2,13.32,PyTorch,1
Townsville,Finance,AI Researcher,10,25.78,Scikit-learn,0
Wollongong,E-commerce,Data Scientist,4,11.48,Scikit-learn,1
Townsville,IT,ML Engineer,11,30.32,TensorFlow,1
Townsville,Healthcare,Data Scientist,11,28.22,Scikit-learn,0
Adelaide,Manufacturing,Data Scientist,9,20.51,AWS AI,1
Newcastle,Manufacturing,AI Engineer,2,3.0,TensorFlow,1
Sydney,E-commerce,Data Scientist,3,8.16,AWS AI,0
Melbourne,IT,AI Engineer,11,26.47,AWS AI,0
Adelaide,Healthcare,AI Engineer,10,21.99,Scikit-learn,0
Cairns,E-commerce,Data Scientist,11,25.15,ChatGPT,1
Wollongong,Finance,ML Engineer,10,27.89,AWS AI,1
Cairns,E-commerce,AI Researcher,5,18.8,Scikit-learn,1
Brisbane,IT,ML Engineer,0,10.2,Scikit-learn,0
Melbourne,Healthcare,AI Engineer,2,7.55,TensorFlow,0
Cairns,Manufacturing,AI Researcher,9,28.12,ChatGPT,1
Wollongong,Healthcare,Data Analyst,1,3.54,PyTorch,1
Townsville,EdTech,AI Engineer,9,21.47,AWS AI,1
Melbourne,Healthcare,AI Researcher,2,14.44,AWS AI,1
Wollongong,Finance,AI Researcher,11,27.46,ChatGPT,1
Cairns,Finance,AI Researcher,0,8.58,Azure AI,1
Newcastle,Finance,ML Engineer,11,32.75,PyTorch,1
Newcastle,Healthcare,AI Engineer,4,14.55,TensorFlow,1
Brisbane,EdTech,AI Engineer,0,3.0,TensorFlow,1
Townsville,Finance,AI Engineer,7,16.87,Scikit-learn,1
Gold Coast,Healthcare,AI Engineer,9,19.56,AWS AI,1
Perth,Healthcare,Data Analyst,4,17.45,AWS AI,1
Cairns,Manufacturing,AI Researcher,2,12.61,Scikit-learn,0
Newcastle,Manufacturing,AI Engineer,5,11.48,ChatGPT,0
Melbourne,Healthcare,AI Researcher,4,16.7,TensorFlow,1
Newcastle,EdTech,Data Analyst,7,11.32,AWS AI,1
Cairns,IT,ML Engineer,11,31.76,PyTorch,1
Brisbane,EdTech,Data Analyst,7,16.88,ChatGPT,1
Newcastle,E-commerce,AI Engineer,2,6.76,TensorFlow,0
Adelaide,Finance,AI Researcher,0,11.4,Azure AI,0
Wollongong,Manufacturing,AI Engineer,3,11.75,TensorFlow,1
Newcastle,Healthcare,AI Researcher,4,14.26,PyTorch,0
Cairns,Healthcare,Data Scientist,11,26.68,PyTorch,1
Adelaide,IT,ML Engineer,10,27.82,ChatGPT,1
Sydney,IT,Data Analyst,6,14.52,Azure AI,1
Gold Coast,E-commerce,Data Analyst,0,8.2,TensorFlow,0
Sydney,Healthcare,AI Engineer,4,11.97,TensorFlow,1
Wollongong,Healthcare,AI Engineer,4,13.21,TensorFlow,1
Adelaide,Healthcare,Data Analyst,1,3.0,Azure AI,1
Melbourne,IT,Data Scientist,11,24.5,TensorFlow,0
Wollongong,Finance,Data Scientist,0,3.0,TensorFlow,1
Sydney,IT,ML Engineer,4,13.51,Azure AI,0
Cairns,Finance,AI Researcher,1,10.08,ChatGPT,1
Sydney,EdTech,Data Scientist,8,20.3,Scikit-learn,1
Newcastle,Healthcare,Data Scientist,0,3.0,TensorFlow,1
Wollongong,IT,Data Analyst,5,13.53,AWS AI,1
Melbourne,EdTech,AI Engineer,0,3.0,AWS AI,0
Brisbane,EdTech,AI Engineer,7,15.63,ChatGPT,1
Cairns,Healthcare,AI Engineer,2,6.34,ChatGPT,1
Melbourne,IT,AI Researcher,11,27.85,Scikit-learn,1
Townsville,IT,AI Engineer,11,26.05,Scikit-learn,0
Townsville,Healthcare,AI Researcher,10,31.6,TensorFlow,1
Gold Coast,Healthcare,ML Engineer,8,18.75,ChatGPT,0
Gold Coast,Finance,Data Analyst,11,25.27,ChatGPT,1
Gold Coast,Healthcare,Data Scientist,10,25.09,AWS AI,1
Brisbane,IT,AI Researcher,11,34.48,Azure AI,1
Perth,IT,AI Researcher,5,21.04,PyTorch,0
Perth,E-commerce,AI Engineer,9,27.82,Scikit-learn,0
Brisbane,IT,AI Researcher,11,28.81,ChatGPT,1
Cairns,Finance,Data Analyst,9,22.38,ChatGPT,1
Gold Coast,Healthcare,AI Researcher,11,30.99,AWS AI,1
Brisbane,Healthcare,AI Researcher,7,25.28,Azure AI,1
Gold Coast,Finance,Data Analyst,2,9.96,ChatGPT,1
Wollongong,EdTech,Data Scientist,4,7.79,PyTorch,0
Perth,IT,AI Engineer,3,9.83,AWS AI,1
Townsville,Healthcare,AI Engineer,1,11.21,AWS AI,0
Cairns,Healthcare,AI Engineer,5,13.15,Azure AI,1
Melbourne,Manufacturing,AI Engineer,10,23.93,AWS AI,0
Perth,Healthcare,AI Engineer,1,5.1,AWS AI,0
Adelaide,Healthcare,Data Scientist,6,11.58,ChatGPT,1
Brisbane,Finance,AI Researcher,9,25.7,ChatGPT,1
Brisbane,Manufacturing,Data Analyst,2,6.93,AWS AI,0
Newcastle,Finance,ML Engineer,0,8.69,Azure AI,0
Perth,E-commerce,AI Engineer,6,17.06,AWS AI,1
Sydney,IT,AI Researcher,10,26.08,Azure AI,0
Brisbane,E-commerce,Data Scientist,6,15.45,Azure AI,1
Melbourne,IT,Data Scientist,3,8.14,TensorFlow,0
Perth,Finance,AI Engineer,6,14.7,TensorFlow,1
Perth,Finance,AI Engineer,10,19.07,TensorFlow,1
Gold Coast,IT,AI Researcher,1,15.02,PyTorch,1
Melbourne,EdTech,ML Engineer,1,9.07,PyTorch,1
Brisbane,E-commerce,AI Researcher,10,24.16,AWS AI,1
Perth,EdTech,Data Scientist,5,14.47,TensorFlow,1
Adelaide,Manufacturing,AI Researcher,5,20.99,ChatGPT,1
Townsville,EdTech,ML Engineer,5,14.52,PyTorch,0
Cairns,Healthcare,AI Engineer,0,3.0,AWS AI,1
Cairns,Healthcare,Data Scientist,8,18.41,Scikit-learn,0
Melbourne,Healthcare,Data Analyst,0,4.21,ChatGPT,1
Gold Coast,EdTech,Data Scientist,10,21.72,PyTorch,1
Brisbane,Manufacturing,AI Engineer,10,25.0,AWS AI,1
Newcastle,E-commerce,AI Researcher,9,23.63,PyTorch,1
Gold Coast,IT,AI Engineer,1,3.0,TensorFlow,0
Newcastle,Healthcare,AI Researcher,4,16.68,ChatGPT,1
Perth,IT,AI Engineer,2,5.63,AWS AI,1
Cairns,Finance,Data Scientist,5,10.44,AWS AI,0
Wollongong,E-commerce,AI Engineer,10,25.31,ChatGPT,1
Perth,Manufacturing,Data Scientist,3,7.15,Azure AI,1
Wollongong,Finance,Data Scientist,5,14.17,TensorFlow,1
Sydney,E-commerce,ML Engineer,8,25.13,ChatGPT,0
Perth,E-commerce,Data Analyst,7,18.27,Azure AI,1
Cairns,Manufacturing,Data Analyst,10,20.23,Azure AI,1
Sydney,E-commerce,Data Scientist,10,21.7,AWS AI,1
Cairns,Manufacturing,AI Researcher,4,14.42,Azure AI,1
Sydney,EdTech,Data Scientist,5,14.86,TensorFlow,1
Newcastle,Finance,AI Researcher,6,18.43,PyTorch,0
Brisbane,Finance,Data Analyst,10,25.03,Scikit-learn,0
Gold Coast,IT,ML Engineer,1,10.05,Scikit-learn,1
Sydney,IT,AI Researcher,9,26.52,AWS AI,0
Brisbane,E-commerce,Data Analyst,5,14.34,Scikit-learn,1
Townsville,Finance,Data Analyst,2,3.9,Azure AI,1
Townsville,Healthcare,Data Analyst,4,13.79,ChatGPT,1
Brisbane,E-commerce,Data Analyst,4,9.03,Scikit-learn,1
Sydney,IT,ML Engineer,11,27.59,AWS AI,1
Wollongong,Healthcare,Data Analyst,9,20.0,AWS AI,0
Newcastle,Manufacturing,Data Scientist,4,14.47,TensorFlow,1
Perth,E-commerce,AI Researcher,7,23.98,PyTorch,1
Townsville,Healthcare,Data Scientist,3,12.43,TensorFlow,0
Perth,IT,Data Analyst,6,14.52,Scikit-learn,1
Adelaide,IT,AI Researcher,6,19.32,Scikit-learn,0
Sydney,IT,AI Researcher,9,26.69,ChatGPT,1
Wollongong,EdTech,AI Engineer,11,27.79,Azure AI,1
Melbourne,Manufacturing,ML Engineer,1,8.9,Azure AI,1
Cairns,IT,ML Engineer,6,20.67,AWS AI,0
Gold Coast,E-commerce,AI Engineer,7,15.86,ChatGPT,1
Brisbane,Finance,Data Analyst,7,17.49,Scikit-learn,0
Adelaide,IT,Data Scientist,8,17.36,PyTorch,0
Gold Coast,Finance,Data Scientist,1,7.36,TensorFlow,0
Perth,EdTech,Data Scientist,10,20.44,ChatGPT,1
Perth,Finance,AI Engineer,6,16.2,ChatGPT,1
Brisbane,IT,AI Researcher,7,21.98,AWS AI,1
Newcastle,Manufacturing,Data Analyst,9,26.44,PyTorch,1
Brisbane,Manufacturing,AI Researcher,8,25.77,ChatGPT,1
Gold Coast,Manufacturing,AI Engineer,2,10.39,Scikit-learn,1
Townsville,EdTech,Data Scientist,5,15.32,PyTorch,1
Brisbane,EdTech,AI Engineer,6,15.78,TensorFlow,1
Brisbane,EdTech,AI Researcher,4,16.47,PyTorch,1
Adelaide,Finance,ML Engineer,9,19.78,Scikit-learn,0
Perth,Finance,ML Engineer,5,17.29,AWS AI,1
Townsville,IT,AI Researcher,2,12.23,Scikit-learn,0
Gold Coast,Finance,ML Engineer,9,25.3,TensorFlow,0
Adelaide,Finance,Data Analyst,0,3.0,PyTorch,0
Sydney,Finance,AI Engineer,5,13.98,Scikit-learn,1
Newcastle,Manufacturing,Data Scientist,5,12.23,PyTorch,1
Gold Coast,IT,ML Engineer,11,32.12,TensorFlow,1
Sydney,EdTech,AI Engineer,6,15.69,ChatGPT,1
Newcastle,Manufacturing,ML Engineer,2,9.11,AWS AI,0
Cairns,Manufacturing,AI Researcher,0,5.89,ChatGPT,1
Wollongong,Finance,AI Researcher,5,18.31,AWS AI,0
Melbourne,E-commerce,Data Scientist,0,4.86,Azure AI,0
Wollongong,EdTech,Data Scientist,5,13.2,PyTorch,1
Brisbane,E-commerce,AI Engineer,5,10.48,AWS AI,1
Gold Coast,IT,Data Scientist,8,20.76,TensorFlow,0
Gold Coast,E-commerce,Data Analyst,5,12.75,Scikit-learn,1
Perth,Healthcare,Data Analyst,10,24.81,ChatGPT,1
Townsville,E-commerce,ML Engineer,10,27.01,Scikit-learn,1
Adelaide,E-commerce,Data Analyst,6,14.38,TensorFlow,1
Sydney,E-commerce,Data Analyst,11,26.19,TensorFlow,1
Cairns,Manufacturing,Data Analyst,2,6.38,TensorFlow,1
Perth,Finance,Data Scientist,6,18.76,AWS AI,0
Gold Coast,Finance,Data Scientist,4,13.61,TensorFlow,1
Melbourne,EdTech,AI Engineer,0,5.11,PyTorch,1
Melbourne,EdTech,Data Analyst,5,14.87,AWS AI,1
Melbourne,Finance,Data Scientist,7,19.23,ChatGPT,0
Adelaide,IT,AI Researcher,2,12.02,Azure AI,0
Wollongong,Healthcare,AI Engineer,9,22.76,ChatGPT,0
Melbourne,Finance,Data Scientist,5,15.16,TensorFlow,1
Adelaide,E-commerce,ML Engineer,0,6.67,AWS AI,1
Townsville,E-commerce,ML Engineer,7,20.89,TensorFlow,1
Cairns,IT,Data Analyst,9,21.67,TensorFlow,1
Gold Coast,EdTech,Data Analyst,0,3.0,Scikit-learn,0
Perth,Finance,ML Engineer,1,9.17,Azure AI,0
Sydney,E-commerce,AI Researcher,10,30.91,ChatGPT,1
Perth,Finance,ML Engineer,10,24.74,Scikit-learn,0
Townsville,Finance,AI Researcher,7,22.54,Scikit-learn,1
Sydney,Finance,Data Scientist,8,19.27,ChatGPT,1
Cairns,EdTech,Data Scientist,7,16.36,ChatGPT,0
Newcastle,Finance,AI Engineer,2,6.05,ChatGPT,1
Gold Coast,E-commerce,AI Researcher,2,13.33,ChatGPT,0
Adelaide,Finance,Data Scientist,6,15.62,TensorFlow,0
Sydney,E-commerce,AI Engineer,9,23.83,ChatGPT,0
Gold Coast,EdTech,ML Engineer,7,18.74,Scikit-learn,1
Sydney,Manufacturing,AI Researcher,8,24.65,Scikit-learn,1
Cairns,IT,Data Scientist,3,9.64,Azure AI,1
Newcastle,IT,Data Scientist,4,6.7,TensorFlow,1
Sydney,EdTech,AI Engineer,10,23.89,AWS AI,1
Adelaide,IT,Data Analyst,7,16.88,Scikit-learn,0
Cairns,IT,ML Engineer,1,10.18,ChatGPT,1
Perth,Manufacturing,Data Scientist,6,12.49,Scikit-learn,1
Brisbane,E-commerce,AI Researcher,4,16.34,ChatGPT,1
Sydney,EdTech,ML Engineer,8,23.42,AWS AI,1
Newcastle,Healthcare,AI Researcher,1,9.32,Azure AI,0
Perth,EdTech,AI Engineer,0,3.0,ChatGPT,1
Melbourne,EdTech,ML Engineer,7,20.59,Scikit-learn,1
Newcastle,Finance,AI Engineer,6,18.18,Azure AI,0
Perth,Healthcare,Data Scientist,8,22.71,ChatGPT,1
Sydney,Finance,AI Engineer,1,4.63,ChatGPT,1
Townsville,Healthcare,ML Engineer,10,24.23,AWS AI,0
Sydney,Manufacturing,Data Scientist,0,4.9,TensorFlow,0
Wollongong,E-commerce,AI Researcher,6,23.04,Azure AI,1
Perth,Healthcare,Data Analyst,10,22.11,TensorFlow,1
Cairns,Manufacturing,AI Engineer,8,20.1,PyTorch,1
Cairns,IT,Data Scientist,11,26.33,PyTorch,0
Brisbane,Healthcare,Data Analyst,3,9.47,AWS AI,1
Sydney,Manufacturing,Data Analyst,10,21.51,Scikit-learn,1
Adelaide,EdTech,AI Engineer,0,5.42,Scikit-learn,0
Townsville,E-commerce,Data Analyst,3,9.39,PyTorch,1
Gold Coast,Manufacturing,AI Researcher,2,13.71,PyTorch,0
Adelaide,EdTech,ML Engineer,6,19.24,PyTorch,0
Gold Coast,Finance,Data Analyst,2,3.47,Scikit-learn,1
Wollongong,Manufacturing,Data Scientist,10,23.57,PyTorch,1
Sydney,Healthcare,ML Engineer,0,5.45,TensorFlow,1
Melbourne,Manufacturing,AI Engineer,8,21.42,Scikit-learn,1
Brisbane,Manufacturing,Data Scientist,0,3.45,AWS AI,0
Perth,Manufacturing,Data Scientist,0,5.09,ChatGPT,1
Brisbane,IT,AI Engineer,0,3.0,PyTorch,1
Wollongong,Manufacturing,ML Engineer,10,25.51,PyTorch,1
Perth,Healthcare,Data Scientist,2,8.48,ChatGPT,0
Wollongong,Manufacturing,AI Engineer,9,24.97,AWS AI,1
Perth,Healthcare,ML Engineer,10,24.49,AWS AI,0
Brisbane,Manufacturing,Data Scientist,0,4.01,PyTorch,0
Townsville,IT,Data Scientist,9,19.43,TensorFlow,1
Cairns,Finance,ML Engineer,2,13.96,Scikit-learn,1
Melbourne,IT,ML Engineer,11,32.02,ChatGPT,1
Wollongong,Finance,AI Researcher,2,13.41,Scikit-learn,0
Cairns,IT,Data Scientist,7,16.97,Azure AI,0
Townsville,E-commerce,Data Scientist,0,3.0,Scikit-learn,1
Gold Coast,EdTech,Data Analyst,5,15.06,ChatGPT,1
Sydney,IT,AI Researcher,9,24.58,ChatGPT,1
Newcastle,Healthcare,AI Researcher,7,24.96,PyTorch,0
Newcastle,IT,ML Engineer,9,26.66,AWS AI,1
Gold Coast,E-commerce,ML Engineer,9,27.37,Scikit-learn,1
Townsville,Healthcare,Data Analyst,10,27.29,TensorFlow,1
Brisbane,Healthcare,AI Researcher,4,15.47,AWS AI,0
Perth,EdTech,ML Engineer,11,28.3,PyTorch,1
Gold Coast,EdTech,Data Analyst,1,4.56,ChatGPT,1
Adelaide,Manufacturing,AI Researcher,2,14.52,TensorFlow,1
Adelaide,EdTech,AI Engineer,7,16.97,TensorFlow,1
Melbourne,Finance,AI Researcher,4,13.78,ChatGPT,1
Wollongong,E-commerce,AI Engineer,9,22.77,Azure AI,1
Sydney,Manufacturing,Data Scientist,9,22.05,TensorFlow,1
Gold Coast,IT,AI Engineer,2,6.78,Azure AI,1
Adelaide,IT,AI Researcher,10,29.5,PyTorch,1
Melbourne,Finance,Data Scientist,9,20.15,Azure AI,1
Townsville,Finance,Data Scientist,8,22.04,TensorFlow,0
Gold Coast,IT,ML Engineer,9,24.81,TensorFlow,1
Melbourne,Finance,Data Analyst,10,25.45,Scikit-learn,1
Brisbane,E-commerce,AI Researcher,0,5.55,AWS AI,0
Brisbane,Healthcare,AI Researcher,10,26.51,ChatGPT,1
Wollongong,E-commerce,ML Engineer,2,11.11,Scikit-learn,1
Newcastle,EdTech,ML Engineer,3,10.97,TensorFlow,1
Wollongong,EdTech,Data Analyst,2,9.66,AWS AI,1
Perth,EdTech,AI Engineer,2,6.29,ChatGPT,1
Adelaide,Finance,ML Engineer,5,19.18,Scikit-learn,1
Melbourne,E-commerce,AI Engineer,7,16.61,Scikit-learn,1
Townsville,Manufacturing,AI Engineer,9,19.18,ChatGPT,1
Brisbane,Manufacturing,AI Researcher,3,13.31,Scikit-learn,1
Sydney,EdTech,ML Engineer,1,5.47,ChatGPT,1
Perth,IT,AI Engineer,0,4.06,PyTorch,1
Newcastle,E-commerce,Data Scientist,5,14.72,ChatGPT,1
Cairns,IT,AI Engineer,10,22.75,TensorFlow,1
Townsville,Healthcare,ML Engineer,6,17.99,TensorFlow,1
Adelaide,Healthcare,AI Researcher,0,8.25,Azure AI,1
Gold Coast,Manufacturing,ML Engineer,11,26.5,PyTorch,0
Sydney,E-commerce,AI Engineer,0,3.0,Azure AI,1
Perth,Healthcare,AI Engineer,1,4.58,Azure AI,1
Sydney,E-commerce,AI Researcher,8,25.1,TensorFlow,0
Adelaide,Manufacturing,Data Analyst,8,16.89,TensorFlow,0
Gold Coast,IT,ML Engineer,6,19.63,Scikit-learn,1
Newcastle,EdTech,AI Researcher,8,29.5,Scikit-learn,1
Adelaide,E-commerce,AI Engineer,5,13.15,TensorFlow,0
Adelaide,Finance,AI Engineer,11,25.47,PyTorch,1
Gold Coast,IT,AI Researcher,0,6.48,Azure AI,1
Wollongong,EdTech,AI Engineer,7,17.48,PyTorch,1
Wollongong,Manufacturing,ML Engineer,9,25.92,TensorFlow,1
Newcastle,EdTech,AI Engineer,10,24.77,TensorFlow,1
Adelaide,E-commerce,AI Engineer,3,9.63,PyTorch,1
Townsville,EdTech,Data Scientist,4,15.34,AWS AI,1
Gold Coast,IT,ML Engineer,10,25.79,ChatGPT,0
Cairns,E-commerce,Data Scientist,7,15.99,AWS AI,0
Brisbane,Healthcare,Data Analyst,1,4.31,TensorFlow,0
Townsville,E-commerce,ML Engineer,2,8.89,AWS AI,1
Gold Coast,EdTech,AI Researcher,11,28.82,Azure AI,1
Wollongong,Manufacturing,Data Scientist,6,14.14,PyTorch,1
Gold Coast,EdTech,ML Engineer,10,26.6,ChatGPT,1
Perth,Healthcare,ML Engineer,2,9.04,AWS AI,1
Melbourne,Healthcare,ML Engineer,5,16.46,TensorFlow,1
Newcastle,Finance,AI Engineer,8,23.8,PyTorch,1
Wollongong,E-commerce,Data Analyst,10,22.73,PyTorch,1
Melbourne,E-commerce,Data Analyst,8,19.45,PyTorch,0
Perth,IT,ML Engineer,10,23.83,ChatGPT,0
Melbourne,Manufacturing,Data Analyst,2,7.95,Azure AI,1
Adelaide,Finance,AI Engineer,5,14.24,ChatGPT,0
Adelaide,E-commerce,AI Researcher,3,17.06,Azure AI,1
Adelaide,EdTech,Data Analyst,1,5.23,TensorFlow,0
Townsville,Healthcare,Data Analyst,0,3.0,AWS AI,1
Newcastle,IT,Data Analyst,4,15.45,Azure AI,1
Adelaide,Healthcare,Data Scientist,2,9.58,TensorFlow,1
Brisbane,IT,ML Engineer,10,26.99,PyTorch,1
Sydney,Healthcare,Data Analyst,7,18.64,TensorFlow,0
Townsville,Healthcare,Data Analyst,0,4.73,Scikit-learn,1
Newcastle,EdTech,AI Researcher,0,6.15,Azure AI,1
Brisbane,EdTech,ML Engineer,1,10.23,AWS AI,0
Townsville,E-commerce,AI Researcher,1,7.63,ChatGPT,1
Newcastle,Healthcare,AI Researcher,4,18.2,ChatGPT,0
Adelaide,Finance,AI Researcher,10,26.41,ChatGPT,1
Newcastle,Finance,ML Engineer,5,15.05,Scikit-learn,1
Townsville,Healthcare,ML Engineer,11,30.01,Azure AI,1
Wollongong,EdTech,AI Researcher,9,26.31,Azure AI,1
Wollongong,Manufacturing,ML Engineer,8,26.62,PyTorch,0
Townsville,EdTech,AI Engineer,7,15.37,AWS AI,1
Sydney,Healthcare,AI Researcher,4,16.91,AWS AI,1
Wollongong,Manufacturing,AI Engineer,2,6.73,ChatGPT,1
Adelaide,Healthcare,Data Analyst,2,6.7,PyTorch,1
Newcastle,EdTech,Data Analyst,6,21.8,Scikit-learn,1
Adelaide,IT,AI Researcher,11,29.38,PyTorch,1
Wollongong,Manufacturing,ML Engineer,10,28.02,AWS AI,1
Gold Coast,Healthcare,ML Engineer,0,3.48,Azure AI,0
Brisbane,Manufacturing,Data Scientist,10,20.15,Azure AI,0
Adelaide,Manufacturing,ML Engineer,8,19.84,Scikit-learn,0
Cairns,Healthcare,AI Engineer,0,3.0,TensorFlow,1
Cairns,EdTech,AI Researcher,4,11.36,Scikit-learn,1
Gold Coast,EdTech,Data Analyst,4,11.88,AWS AI,1
Sydney,Finance,ML Engineer,2,7.26,AWS AI,0
Cairns,Healthcare,Data Scientist,8,18.61,Scikit-learn,0
Adelaide,EdTech,Data Analyst,10,26.39,AWS AI,1
Newcastle,Healthcare,ML Engineer,7,21.65,Scikit-learn,1
Sydney,EdTech,Data Scientist,7,18.23,TensorFlow,1
Brisbane,Finance,AI Engineer,2,5.57,ChatGPT,1
Newcastle,EdTech,ML Engineer,1,8.33,Azure AI,1
Sydney,Finance,Data Scientist,2,10.15,AWS AI,1
Adelaide,IT,AI Engineer,3,9.47,ChatGPT,1
Brisbane,IT,AI Researcher,0,5.41,TensorFlow,1
Brisbane,IT,Data Analyst,9,19.84,AWS AI,0
Wollongong,Manufacturing,Data Analyst,10,22.48,PyTorch,0
Gold Coast,E-commerce,AI Engineer,9,22.47,TensorFlow,1
Melbourne,Manufacturing,AI Researcher,3,14.56,PyTorch,1
Melbourne,Finance,Data Scientist,2,5.14,PyTorch,1
Adelaide,Finance,AI Researcher,4,19.27,AWS AI,0
Sydney,Manufacturing,Data Analyst,11,26.1,Azure AI,0
Adelaide,Finance,AI Engineer,3,13.63,Azure AI,1
Brisbane,Finance,Data Scientist,3,8.97,PyTorch,0
Brisbane,IT,Data Analyst,3,8.45,PyTorch,1
Melbourne,Manufacturing,ML Engineer,5,17.41,ChatGPT,1
Sydney,Finance,AI Researcher,4,17.66,PyTorch,1
Perth,Manufacturing,Data Analyst,2,6.18,Azure AI,1
Cairns,E-commerce,Data Analyst,1,6.18,TensorFlow,1
Gold Coast,IT,Data Analyst,7,19.94,TensorFlow,0
Gold Coast,IT,AI Researcher,8,26.95,TensorFlow,1
Townsville,E-commerce,AI Engineer,8,17.32,Azure AI,1
Townsville,Finance,AI Researcher,3,12.69,ChatGPT,0
Sydney,IT,Data Scientist,2,11.29,Scikit-learn,1
Melbourne,EdTech,AI Researcher,2,13.53,Azure AI,0
Gold Coast,IT,Data Analyst,2,9.52,PyTorch,0
Brisbane,Manufacturing,AI Researcher,3,14.63,PyTorch,1
Townsville,Finance,Data Scientist,2,9.15,ChatGPT,1
Adelaide,EdTech,Data Scientist,0,6.61,PyTorch,1
Gold Coast,E-commerce,ML Engineer,4,13.68,PyTorch,0
Gold Coast,EdTech,AI Researcher,7,21.78,Azure AI,1
Wollongong,Healthcare,AI Engineer,8,18.73,Scikit-learn,1
Brisbane,EdTech,AI Researcher,10,29.27,PyTorch,0
Newcastle,EdTech,AI Researcher,7,21.8,Scikit-learn,0
Brisbane,E-commerce,ML Engineer,1,5.56,ChatGPT,1
Adelaide,Manufacturing,Data Analyst,1,3.14,Scikit-learn,1
Sydney,IT,Data Scientist,8,21.93,TensorFlow,1
Adelaide,EdTech,Data Scientist,3,7.89,Scikit-learn,0
Brisbane,E-commerce,Data Analyst,4,12.72,Scikit-learn,0
Melbourne,Healthcare,ML Engineer,3,12.89,Azure AI,0
Cairns,IT,ML Engineer,11,29.09,AWS AI,1
Melbourne,Healthcare,AI Researcher,5,19.41,Azure AI,1
Townsville,Finance,Data Scientist,0,4.1,TensorFlow,0
Townsville,Manufacturing,Data Scientist,7,16.96,Azure AI,1
Wollongong,EdTech,AI Engineer,6,13.43,Azure AI,1
Wollongong,E-commerce,Data Scientist,5,11.64,ChatGPT,1
Sydney,EdTech,ML Engineer,3,11.05,TensorFlow,1
Sydney,IT,Data Analyst,11,22.12,PyTorch,0
Newcastle,IT,ML Engineer,7,21.26,TensorFlow,0
Newcastle,EdTech,Data Scientist,5,15.63,Azure AI,0
Gold Coast,E-commerce,ML Engineer,0,6.34,Scikit-learn,1
Brisbane,Finance,Data Scientist,4,12.93,AWS AI,1
Gold Coast,E-commerce,ML Engineer,11,24.27,Azure AI,0
Adelaide,EdTech,AI Engineer,5,13.69,Scikit-learn,0
Wollongong,Manufacturing,AI Engineer,10,20.81,PyTorch,1
Perth,IT,Data Scientist,7,17.77,PyTorch,1
Cairns,Finance,AI Engineer,5,13.22,ChatGPT,1
Adelaide,E-commerce,Data Analyst,3,9.92,PyTorch,1
Brisbane,Finance,Data Scientist,4,9.36,Azure AI,1
Gold Coast,Healthcare,Data Analyst,3,7.37,Scikit-learn,1
Townsville,IT,AI Researcher,8,24.93,Azure AI,1
Adelaide,Manufacturing,AI Researcher,6,19.39,AWS AI,1
Brisbane,IT,ML Engineer,3,13.13,TensorFlow,1
Newcastle,Manufacturing,Data Scientist,3,7.54,ChatGPT,1
Brisbane,Finance,AI Researcher,11,30.02,Azure AI,0
Townsville,Healthcare,AI Engineer,7,18.84,PyTorch,1
Brisbane,IT,Data Scientist,7,23.44,ChatGPT,0
Newcastle,E-commerce,Data Analyst,1,4.6,Scikit-learn,1
Perth,E-commerce,AI Researcher,3,18.52,Azure AI,0
Adelaide,Finance,Data Analyst,5,8.88,Azure AI,1
Perth,Healthcare,Data Scientist,3,8.62,ChatGPT,1
Wollongong,Manufacturing,Data Scientist,6,14.61,AWS AI,1
Wollongong,Finance,AI Researcher,1,8.48,ChatGPT,1
Sydney,Finance,AI Engineer,2,8.94,AWS AI,0
Melbourne,EdTech,AI Researcher,1,9.03,PyTorch,1
Melbourne,Finance,Data Scientist,0,3.0,PyTorch,1
Sydney,Finance,Data Analyst,4,11.01,Azure AI,1
